delitto;délit;crime;T_offense
Difficile a provarsi;difficile à prouver;of difficult proof;T_difficult_proof
provarsi/prova;prouver;prove;T_prove
principio;principe;principle;T_principle
ragione;raison;reason;T_reason
legislatrice;législation;formation of the law;T_legislation
nazione;état;nation;T_nation
improbabilità;improbable;equivocal;T_improbable
congetture;conjecture;conjecture;T_conjecture
prova;preuve;proof;T_proof
legge;loi;law;T_law
giudice;magistrat;judge;T_judge
verità;vérité;truth;T_truth
condamnare;condamner;condemn;T_condemn
innocente;innocent;innocent;T_innocent
innocenza;innocence;innocence;T_innocence
reato;crime;/;T_crime
virtù;vertu;virtue;T_virtue
governo;gouvernement;government;T_government
passione;passion;passion;T_passion
bontà (delle leggi);bonté (de leurs lois);goodness of their law;T_goodness_law
forma (di governo);administration établie;form of government;T_government_form
pubblico bene;bien public;public good;T_public_good
deperimento;dépérissement;destruction;T_decline
frequente;fréquent;frequent;T_frequent
società;société;society;T_society
difficoltà della prova;La preuve est difficile;of difficult proof;T_of_difficult_proof
probabilità (dell’innocenza);probabilité de l’innocence;probability of the innocence;T_innocence_probability
danno;danger;danger;T_danger
impunità;impunité;unpunished;T_unpunity
valutabile;moindre;importance;T_importance
pericolo;/;/;T_danger
esame;instruction;examination;T_examination
tempo della prescrizione;durée de la prescription;time of prescription;T_prescription_time
adulterio;adultère;adultery;T_adultery
greca libidine;pédérastie;sodomy;T_sodomy
presunzione;présomption;presumption;T_presumption
presunzione tirannica;tyranniquement les présomptions;/;T_tyrannic_presumption
Quasi-prova;conjecture;Half-proofs;T_half_proof
Semi-prova;Semi-preuves;Half-proofs;T_halfs_proofs
Sem-innocente;partie innocent;half innocent;T_half_innocent
Semi-reo;partie coupable;half guilty;T_half_guilty
Semi-punibile;à la fois puni;half punishable;T_half_punishable
Semi-assolvibile;à la fois absous;half absolvable;T_half_absolvable
tortura;torture;torture;T_torture
accusato;accusé;accused;T_accused
testimone;témoins;witness;T_witness
norma;/;/;T_rule
abuso;abus;abuse;T_abuse
umanità/uomo;nature humaine/humanité;human nature/mankind;T_mankind
fondatore;établissement;founder;T_founder
origine;/;/;T_origin
distruttore;destruction;destruction;T_destruction
bisogno;besoin;necessity;T_necessity
naturale;naturel/de la nature;natural;T_natural
inutile;inutile;useless;T_useless
pernicioso;funeste;pernicious;T_pernicious
fedelta coniugale;fedeltà coniugale;conjugal fidelity;T_conjugal fidelity
libertà (de’ matrimonj);liberté des mariages;/;T_union_freedom
pregiudizio;préjugé;pride;T_prejudice
ereditario;héréditaire;of families;T_hereditary
combina;assortir;unite;T_unite
domestica potestà;puissance paternelle;paternal authority;T_paternal_authority
galanteria;galanterie;gallantry;T_gallantry
(morale) volgare;vulgaire moraliste;common moralist;T_common_moralist
perdonare;pardonner;pardon;T_pardon
cagione;causes;cause;T_cause
vera religione;vraie religion;true religion;T_true_religion
motivo;motif;motive;T_motive
legislatore;législateur;law;T_legislator
prevenire;prévenir;prevent;T_prevent
corregerre;réprimer;punish;T_punish
impunito;impuni;unpunished;T_unpunished
pena;peine;punishment;T_punishment
incentivo;aiguillon;incentive;T_incentive
attica venere;pédérastie;sodomy;T_sodomy
tormento;tortures;torture;T_torture
schiavo;esclave;slave;T_slave
educazione;éducation;education;T_education
infanticido;infanticide;murder of bastard-children;T_children_murder
contradizione;situation;dilemma;T_dilemma
violenza;violence;force;T_force
debolezza;faiblesse;weakness;T_weakness
infamia;infamie;infamy;T_infamy
morte;destruction;death;T_death
male;/;loss of life;T_wrong
miseria;misère;misery;T_misery
proteggere;protection;protect;T_protect
efficace (legge);/;effectually;T_effectually
tirannia;tyrannie;tyranny;T_tyranny
vizio;vice;vice;T_vice
orrore;horreur;abhorrence;T_abhorrence
sorgente;source;source;T_source
in diritto;en droit;/;T_rightly
conseguenza;conséquence;conclusion;T_conclusion
giusta;juste;just;T_just
necessaria;nécessaire;necessary;T_necessary
n.v. (una pena);/;/;T_punishable
